2021-11-17T14:50:28.316Z {"eventType":"ContractTerminatedEvent","event":{"contractId":"5dd464fb-1ebc-4edb-bc83-e8972af0e356","name":"ContractTerminatedEvent","startDate":"2021-11-17T14:50:28.310Z","premium":100,"endDate":"2021-11-17T14:50:28.311Z"},"eventDate":1637160628311}
2021-11-17T14:52:27.275Z {"eventType":"ContractTerminatedEvent","event":{"contractId":"b8226e94-9a91-4e8b-a85a-a4370f42ab07","name":"ContractTerminatedEvent","startDate":"2021-11-17T14:52:27.270Z","premium":100,"endDate":"2021-11-17T14:52:27.270Z"},"eventDate":1637160747270}
2021-11-17T14:59:54.355Z {"eventType":"ContractTerminatedEvent","event":{"contractId":"8","name":"ContractTerminatedEvent","startDate":"2020-01-01","premium":100,"endDate":"2021-11-17T14:59:54.345Z"},"eventDate":1637161194345}
2021-11-17T15:00:03.096Z {"eventType":"ContractTerminatedEvent","event":{"contractId":"8","name":"ContractTerminatedEvent","startDate":"2020-01-01","premium":100,"endDate":"2021-11-17T15:00:03.087Z"},"eventDate":1637161203087}
2021-11-17T15:00:30.761Z {"eventType":"ContractTerminatedEvent","event":{"contractId":"765","name":"ContractTerminatedEvent","startDate":"2020-01-01","premium":100,"endDate":"2021-11-17T15:00:30.751Z"},"eventDate":1637161230751}
2021-11-17T15:00:39.525Z {"eventType":"ContractTerminatedEvent","event":{"contractId":"765","name":"ContractTerminatedEvent","startDate":"2020-01-01","premium":100,"endDate":"2021-11-17T15:00:39.514Z"},"eventDate":1637161239514}
2021-11-17T15:00:42.028Z {"eventType":"ContractTerminatedEvent","event":{"contractId":"765","name":"ContractTerminatedEvent","startDate":"2020-01-01","premium":100,"endDate":"2021-11-17T15:00:42.019Z"},"eventDate":1637161242019}
2021-11-17T15:02:05.410Z {"eventType":"ContractTerminatedEvent","event":{"contractId":"765","name":"ContractTerminatedEvent","startDate":"2020-01-01","premium":100,"endDate":"2021-11-17T15:02:05.406Z"},"eventDate":1637161325406}
2021-11-17T15:02:18.829Z {"eventType":"ContractTerminatedEvent","event":{"contractId":"765","name":"ContractTerminatedEvent","startDate":"2020-01-01","premium":100,"endDate":"2021-11-17T15:02:18.824Z"},"eventDate":1637161338824}
2021-11-17T15:02:30.972Z {"eventType":"ContractTerminatedEvent","event":{"contractId":"765","name":"ContractTerminatedEvent","startDate":"2020-01-01","premium":100,"endDate":"2021-11-17T15:02:30.968Z"},"eventDate":1637161350969}
2021-11-17T15:06:25.682Z {"eventType":"ContractCreatedEvent","event":{"contractId":"f1f5d490-4be8-4d9c-8244-20aeefde3744","name":"ContractCreatedEvent","startDate":"2021-11-17T15:06:25.677Z","premium":100,"endDate":null},"eventDate":1637161585677}
